np41,np41trace4,-,7200.372
np41,np41trace2,-,7200.314
np15,np15trace4,false,0.964
np15,np15trace2,false,0.553
np15,np15trace3,false,0.523
np27,np27trace4,-,7200.182
np27,np27trace2,-,7200.169
np21,np21trace4,true,0.645
np21,np21trace2,true,0.511
np21,np21trace3,true,0.508
p8,p8trace4,false,0.243
p8,p8trace2,false,0.242
p8,p8trace3,false,0.237
np36,np36trace18,false,0.191
np36,np36trace5,false,0.214
np36,np36trace13,false,0.247
np36,np36trace9,false,0.2
np48,np48trace4,false,0.355
np48,np48trace2,false,0.22
np48,np48trace3,false,0.201
np30,np30trace5,true,0.193
np30,np30trace14,true,0.192
np16,np16trace4,false,0.584
np16,np16trace2,false,0.556
np16,np16trace3,false,0.569
np28,np28trace5,true,0.197
np28,np28trace14,true,0.188
p37,p37trace4,-,7200.132
np10,np10trace4,false,0.999
np10,np10trace2,false,1.327
np10,np10trace3,false,0.84
np22,np22trace4,-,7200.177
np22,np22trace2,-,7200.217
p17,p17trace4,true,0.864
p17,p17trace2,true,0.816
p17,p17trace3,true,0.806
p34,p34trace4,-,7200.133
p34,p34trace2,-,7200.152
p5,p5trace15,true,0.503
p5,p5trace4,false,0.34
p5,p5trace1,false,0.235
p5,p5trace12,false,0.242
p5,p5trace2,false,0.243
p5,p5trace5,false,0.242
p5,p5trace8,false,0.245
p5,p5trace6,true,0.253
p5,p5trace10,false,0.272
p5,p5trace14,false,0.284
p5,p5trace17,false,0.254
p5,p5trace16,false,0.248
np37,np37trace4,true,1.061
np37,np37trace2,true,1.021
np37,np37trace3,true,1.088
np49,np49trace15,true,0.258
np49,np49trace18,false,0.246
np49,np49trace1,false,0.251
np49,np49trace12,false,0.232
np49,np49trace5,false,0.238
np49,np49trace8,false,0.243
np49,np49trace6,false,0.249
np49,np49trace10,false,0.244
np49,np49trace14,false,0.242
np49,np49trace11,false,0.238
np49,np49trace17,false,0.236
np49,np49trace13,false,0.246
np49,np49trace9,false,0.233
np49,np49trace7,false,0.246
np49,np49trace16,true,0.248
p31,p31trace4,-,7200.301
p31,p31trace2,-,7200.328
np31,np31trace5,true,0.347
np31,np31trace14,true,0.322
np43,np43trace4,false,0.329
np43,np43trace2,false,0.308
np43,np43trace3,false,0.286
np17,np17trace4,false,1.105
np17,np17trace2,false,1.577
np17,np17trace3,false,1.044
np29,np29trace5,true,0.301
np29,np29trace14,true,0.274
np7,np7trace4,true,2.338
np7,np7trace2,true,2.076
np7,np7trace3,true,2.642
np11,np11trace4,false,1.444
np11,np11trace2,false,1.724
np11,np11trace3,false,1.405
np23,np23trace4,-,7200.184
np23,np23trace2,-,7200.24
p11,p11trace4,true,0.699
p11,p11trace2,true,0.406
p11,p11trace3,true,0.552
p19,p19trace4,true,1.613
p19,p19trace2,true,1.386
p19,p19trace3,true,1.236
p36,p36trace2,-,7200.39
np4,np4trace4,false,0.557
np4,np4trace2,false,0.471
np4,np4trace3,false,0.339
np38,np38trace4,true,1.814
np38,np38trace2,true,1.13
np38,np38trace3,true,1.715
np32,np32trace5,true,0.449
np32,np32trace14,true,0.325
np44,np44trace4,false,0.425
np44,np44trace2,false,0.332
np44,np44trace3,false,0.461
np1,np1trace4,true,1.768
np1,np1trace2,true,1.694
np1,np1trace3,true,1.899
np18,np18trace4,false,0.38
np18,np18trace2,false,0.497
np18,np18trace3,false,0.373
np9,np9trace4,false,3.338
np9,np9trace2,false,1.8
np9,np9trace3,false,3.095
np12,np12trace4,false,2.172
np12,np12trace2,false,1.727
np12,np12trace3,false,2.147
np24,np24trace4,-,7200.294
np24,np24trace2,-,7200.357
p13,p13trace4,false,1.734
p13,p13trace2,false,1.504
p13,p13trace3,false,2.0
np6,np6trace4,true,3.118
np6,np6trace2,true,3.212
np6,np6trace3,true,3.048
np39,np39trace4,-,7200.272
np39,np39trace2,-,7200.138
np39,np39trace3,-,7200.247
p35,p35trace4,-,7200.263
p35,p35trace2,-,7200.277
p47,p47trace4,-,7200.362
p47,p47trace2,-,7200.332
p47,p47trace3,-,7200.35
np45,np45trace4,false,0.523
np45,np45trace2,false,0.605
np45,np45trace3,false,0.513
np19,np19trace4,false,0.556
np19,np19trace2,false,0.628
np19,np19trace3,false,0.533
p1,p1trace15,true,0.627
p1,p1trace18,true,0.502
p1,p1trace1,true,0.543
p1,p1trace12,false,0.491
p1,p1trace5,false,0.514
p1,p1trace8,true,0.481
p1,p1trace6,true,0.513
p1,p1trace10,true,0.573
p1,p1trace14,true,0.513
p1,p1trace11,false,0.579
p1,p1trace17,true,0.51
p1,p1trace13,false,0.449
p1,p1trace9,true,0.538
p1,p1trace7,false,0.346
p1,p1trace16,true,0.558
np13,np13trace4,false,2.323
np13,np13trace2,false,2.303
np13,np13trace3,false,2.639
np25,np25trace4,-,7200.397
np25,np25trace2,-,7200.446
p15,p15trace4,false,0.676
p15,p15trace2,false,0.562
p15,p15trace3,false,0.742
np8,np8trace4,false,3.387
np8,np8trace2,false,2.559
np8,np8trace3,false,3.521
np5,np5trace4,false,0.69
np5,np5trace2,false,0.648
np5,np5trace3,false,0.673
np46,np46trace4,false,0.757
np46,np46trace2,false,0.494
np46,np46trace3,false,0.639
np40,np40trace4,-,7200.496
np40,np40trace2,-,7201.046
np14,np14trace4,false,3.156
np14,np14trace2,false,3.087
np14,np14trace3,false,3.195
np26,np26trace4,-,7200.507
np26,np26trace2,-,7200.519
p21,p21trace4,false,0.615
p21,p21trace2,false,0.688
np20,np20trace4,false,0.706
np20,np20trace2,false,0.609
np20,np20trace3,false,0.697
p4,p4trace15,true,0.806
p4,p4trace4,false,0.887
p4,p4trace1,false,0.706
p4,p4trace12,false,0.61
p4,p4trace2,false,0.603
p4,p4trace5,true,0.543
p4,p4trace8,false,0.488
p4,p4trace6,true,0.654
p4,p4trace10,false,0.542
p4,p4trace14,false,0.691
p4,p4trace17,false,0.64
p4,p4trace16,false,0.61
np2,np2trace4,false,2.755
np2,np2trace2,false,3.095
np2,np2trace3,false,2.584
np35,np35trace15,false,0.708
np35,np35trace18,false,0.551
np35,np35trace1,false,0.618
np35,np35trace12,false,0.607
np35,np35trace5,false,0.562
np35,np35trace8,false,0.682
np35,np35trace6,false,0.684
np35,np35trace10,false,0.431
np35,np35trace14,false,0.602
np35,np35trace11,false,0.601
np35,np35trace17,false,0.645
np35,np35trace13,false,0.642
np35,np35trace9,false,0.667
np35,np35trace7,false,0.739
np35,np35trace16,false,0.61
np47,np47trace4,false,0.654
np47,np47trace2,false,0.683
np47,np47trace3,false,0.561
